Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
52500-9488:LeBron James,52500-9488,SF,LeBron,LeBron James,James,51.11764706,68,11000,LAC@LAL,LAL,LAC,,,
52500-15755:Anthony Davis,52500-15755,PF,Anthony,Anthony Davis,Davis,50.91587224,63,10600,LAC@LAL,LAL,LAC,,,
52500-14513:Kawhi Leonard,52500-14513,SF,Kawhi,Kawhi Leonard,Leonard,47.47931119,58,9500,LAC@LAL,LAC,LAL,,,
52500-14498:Kyrie Irving,52500-14498,PG,Kyrie,Kyrie Irving,Irving,46.12999878,20,9000,GS@BKN,BKN,GS,,,
52500-9524:Stephen Curry,52500-9524,PG,Stephen,Stephen Curry,Curry,37.93999939,5,8700,GS@BKN,GS,BKN,,,
52500-9646:Kevin Durant,52500-9646,PF,Kevin,Kevin Durant,Durant,45.054431,79,8500,GS@BKN,BKN,GS,,,
52500-12341:Paul George,52500-12341,SG,Paul,Paul George,George,36.99791718,48,7600,LAC@LAL,LAC,LAL,,,
52500-49116:Andrew Wiggins,52500-49116,SG,Andrew,Andrew Wiggins,Wiggins,36.34814905,54,6600,GS@BKN,GS,BKN,,,
52500-58153:Kelly Oubre,52500-58153,SF,Kelly,Kelly Oubre,Oubre,33.15535627,56,6400,GS@BKN,GS,BKN,,,
52500-15860:Draymond Green,52500-15860,PF,Draymond,Draymond Green,Green,28.86511514,43,6100,GS@BKN,GS,BKN,O,Foot,
52500-23798:Caris LeVert,52500-23798,SF,Caris,Caris LeVert,LeVert,31.96222331,45,5800,GS@BKN,BKN,GS,,,
52500-9957:Serge Ibaka,52500-9957,PF,Serge,Serge Ibaka,Ibaka,29.38000044,55,5500,LAC@LAL,LAC,LAL,,,
52500-9662:Lou Williams,52500-9662,PG,Lou,Lou Williams,Williams,30.10307617,65,5300,LAC@LAL,LAC,LAL,,,
52500-15542:Spencer Dinwiddie,52500-15542,SG,Spencer,Spencer Dinwiddie,Dinwiddie,35.00312424,64,5200,GS@BKN,BKN,GS,,,
52500-23776:Montrezl Harrell,52500-23776,C,Montrezl,Montrezl Harrell,Harrell,33.23333256,63,5100,LAC@LAL,LAL,LAC,,,
52500-40201:Dennis Schroder,52500-40201,SG,Dennis,Dennis Schroder,Schroder,29.47999925,65,5000,LAC@LAL,LAL,LAC,,,
52500-110323:Eric Paschall,52500-110323,PF,Eric,Eric Paschall,Paschall,23.44426189,61,4900,GS@BKN,GS,BKN,,,
52500-80821:Jarrett Allen,52500-80821,C,Jarrett,Jarrett Allen,Allen,29.48857073,70,4800,GS@BKN,BKN,GS,,,
52500-70827:Ivica Zubac,52500-70827,C,Ivica,Ivica Zubac,Zubac,21.60555522,72,4700,LAC@LAL,LAC,LAL,,,
52500-9561:DeAndre Jordan,52500-9561,C,DeAndre,DeAndre Jordan,Jordan,25.56607056,56,4500,GS@BKN,BKN,GS,,,
52500-67707:Marquese Chriss,52500-67707,PF,Marquese,Marquese Chriss,Chriss,23.42372881,59,4400,GS@BKN,GS,BKN,,,
52500-16363:Joe Harris,52500-16363,SF,Joe,Joe Harris,Harris,23.79130399,69,4300,GS@BKN,BKN,GS,,,
52500-58377:Kyle Kuzma,52500-58377,PF,Kyle,Kyle Kuzma,Kuzma,21.32131108,61,4200,LAC@LAL,LAL,LAC,,,
52500-14512:Marcus Morris,52500-14512,PF,Marcus,Marcus Morris,Morris,26.92257986,62,4200,LAC@LAL,LAC,LAL,O,Knee,
52500-12474:Patrick Beverley,52500-12474,PG,Patrick,Patrick Beverley,Beverley,22.91568532,51,4200,LAC@LAL,LAC,LAL,,,
52500-14523:Reggie Jackson,52500-14523,SG,Reggie,Reggie Jackson,Jackson,21.69032337,31,4200,LAC@LAL,LAC,LAL,,,
52500-145347:James Wiseman,52500-145347,C,James,James Wiseman,Wiseman,,,4200,GS@BKN,GS,BKN,,,
52500-58576:Kevon Looney,52500-58576,C,Kevon,Kevon Looney,Looney,10.95999985,20,4100,GS@BKN,GS,BKN,,,
52500-66046:Luke Kennard,52500-66046,SG,Luke,Luke Kennard,Kennard,26.53928484,28,4000,LAC@LAL,LAC,LAL,,,
52500-23572:Taurean Prince,52500-23572,SF,Taurean,Taurean Prince,Prince,23.79999924,64,3900,GS@BKN,BKN,GS,,,
52500-23981:Alex Caruso,52500-23981,PG,Alex,Alex Caruso,Caruso,13.96249962,64,3900,LAC@LAL,LAL,LAC,,,
52500-18376:Damion Lee,52500-18376,SG,Damion,Damion Lee,Lee,24.65918467,49,3900,GS@BKN,GS,BKN,,,
52500-84724:Landry Shamet,52500-84724,SG,Landry,Landry Shamet,Shamet,15.25471698,53,3900,GS@BKN,BKN,GS,,,
52500-111671:Ky Bowman,52500-111671,PG,Ky,Ky Bowman,Bowman,17.08222249,45,3800,LAC@LAL,LAC,LAL,,,
52500-9581:Marc Gasol,52500-9581,C,Marc,Marc Gasol,Gasol,23.60227273,44,3800,LAC@LAL,LAL,LAC,,,
52500-110322:Jordan Poole,52500-110322,PG,Jordan,Jordan Poole,Poole,15.90526273,57,3800,GS@BKN,GS,BKN,,,
52500-15636:Kentavious Caldwell-Pope,52500-15636,SG,Kentavious,Kentavious Caldwell-Pope,Caldwell-Pope,16.41884093,69,3700,LAC@LAL,LAL,LAC,,,
52500-16790:Brad Wanamaker,52500-16790,PG,Brad,Brad Wanamaker,Wanamaker,15.17324012,71,3700,GS@BKN,GS,BKN,,,
52500-14511:Markieff Morris,52500-14511,PF,Markieff,Markieff Morris,Morris,17.32930992,58,3700,LAC@LAL,LAL,LAC,,,
52500-84694:Bruce Brown,52500-84694,SG,Bruce,Bruce Brown,Brown,23.56551808,58,3700,GS@BKN,BKN,GS,,,
52500-70825:Timothe Luwawu-Cabarrot,52500-70825,SG,Timothe,Timothe Luwawu-Cabarrot,Luwawu-Cabarrot,12.74255371,47,3600,GS@BKN,BKN,GS,,,
52500-19781:Kent Bazemore,52500-19781,SF,Kent,Kent Bazemore,Bazemore,19.71029484,68,3600,GS@BKN,GS,BKN,,,
52500-9799:Wesley Matthews,52500-9799,SF,Wesley,Wesley Matthews,Matthews,13.8686569,67,3600,LAC@LAL,LAL,LAC,,,
52500-110337:Talen Horton-Tucker,52500-110337,SG,Talen,Talen Horton-Tucker,Horton-Tucker,12.06666692,6,3500,LAC@LAL,LAL,LAC,,,
52500-18435:Alfonzo McKinnie,52500-18435,SF,Alfonzo,Alfonzo McKinnie,McKinnie,10.14000015,40,3500,LAC@LAL,LAL,LAC,,,
52500-111492:Amir Coffey,52500-111492,PF,Amir,Amir Coffey,Coffey,6.177777608,18,3500,LAC@LAL,LAC,LAL,,,
52500-110355:Mfiondu Kabengele,52500-110355,SF,Mfiondu,Mfiondu Kabengele,Kabengele,5.683333079,12,3500,LAC@LAL,LAC,LAL,,,
52500-117779:Juan Toscano-Anderson,52500-117779,SF,Juan,Juan Toscano-Anderson,Toscano-Anderson,16.03076876,13,3500,GS@BKN,GS,BKN,,,
52500-110354:Nicolas Claxton,52500-110354,PF,Nicolas,Nicolas Claxton,Claxton,10.7200002,15,3500,GS@BKN,BKN,GS,,,
52500-117273:Mychal Mulder,52500-117273,SF,Mychal,Mychal Mulder,Mulder,17.22857121,7,3500,GS@BKN,GS,BKN,,,
52500-117275:Jeremiah Martin,52500-117275,PG,Jeremiah,Jeremiah Martin,Martin,14,9,3500,GS@BKN,BKN,GS,,,
52500-110365:Alen Smailagic,52500-110365,PF,Alen,Alen Smailagic,Smailagic,8.635714395,14,3500,GS@BKN,GS,BKN,O,Knee,
52500-145822:Kevon Harris,52500-145822,SG,Kevon,Kevon Harris,Harris,,,3500,LAC@LAL,LAL,LAC,,,
52500-145823:Tres Tinkle,52500-145823,SF,Tres,Tres Tinkle,Tinkle,,,3500,LAC@LAL,LAL,LAC,,,
52500-145824:Jordan Ford,52500-145824,PG,Jordan,Jordan Ford,Ford,,,3500,LAC@LAL,LAC,LAL,,,
52500-145825:Malik Fitts,52500-145825,PF,Malik,Malik Fitts,Fitts,,,3500,LAC@LAL,LAC,LAL,,,
52500-9636:Wilson Chandler,52500-9636,SF,Wilson,Wilson Chandler,Chandler,13.92857143,35,3500,GS@BKN,BKN,GS,,,
52500-18600:Tyler Johnson,52500-18600,PG,Tyler,Tyler Johnson,Johnson,13.3897439,39,3500,GS@BKN,BKN,GS,,,
52500-145320:Daniel Oturu,52500-145320,C,Daniel,Daniel Oturu,Oturu,,,3500,LAC@LAL,LAC,LAL,,,
52500-145832:Kaleb Wesson,52500-145832,PF,Kaleb,Kaleb Wesson,Wesson,,,3500,GS@BKN,GS,BKN,,,
52500-145833:Axel Toupane,52500-145833,SG,Axel,Axel Toupane,Toupane,,,3500,GS@BKN,GS,BKN,,,
52500-14509:Klay Thompson,52500-14509,SG,Klay,Klay Thompson,Thompson,33.34683421,79,3500,GS@BKN,GS,BKN,O,Achilles,
52500-9648:Jeff Green,52500-9648,PF,Jeff,Jeff Green,Green,16.26249949,48,3500,GS@BKN,BKN,GS,,,
52500-145587:Dwayne Sutton,52500-145587,SF,Dwayne,Dwayne Sutton,Sutton,,,3500,GS@BKN,GS,BKN,,,
52500-12340:Patrick Patterson,52500-12340,PF,Patrick,Patrick Patterson,Patterson,9.215254444,59,3500,LAC@LAL,LAC,LAL,,,
52500-117301:Devontae Cacok,52500-117301,PF,Devontae,Devontae Cacok,Cacok,13.5,1,3500,LAC@LAL,LAL,LAC,,,
52500-145340:Reggie Perry,52500-145340,PF,Reggie,Reggie Perry,Perry,,,3500,GS@BKN,BKN,GS,,,
52500-145346:Justinian Jessup,52500-145346,SG,Justinian,Justinian Jessup,Jessup,,,3500,GS@BKN,GS,BKN,,,
52500-145345:Nico Mannion,52500-145345,PG,Nico,Nico Mannion,Mannion,,,3500,GS@BKN,GS,BKN,,,
52500-145353:Zavier Simpson,52500-145353,PG,Zavier,Zavier Simpson,Simpson,,,3500,LAC@LAL,LAL,LAC,,,
52500-9677:Jared Dudley,52500-9677,SF,Jared,Jared Dudley,Dudley,4.853333198,45,3500,LAC@LAL,LAL,LAC,,,
52500-9809:Nicolas Batum,52500-9809,SF,Nicolas,Nicolas Batum,Batum,15.95454545,22,3500,LAC@LAL,LAC,LAL,,,
52500-116178:Rayjon Tucker,52500-116178,PG,Rayjon,Rayjon Tucker,Tucker,4.575,20,3500,LAC@LAL,LAC,LAL,,,
52500-84700:Rodions Kurucs,52500-84700,PF,Rodions,Rodions Kurucs,Kurucs,10.63617008,47,3500,GS@BKN,BKN,GS,,,
52500-15582:Quinn Cook,52500-15582,PG,Quinn,Quinn Cook,Cook,8.356818459,44,3500,LAC@LAL,LAL,LAC,,,
52500-110315:Terance Mann,52500-110315,SG,Terance,Terance Mann,Mann,6.695121951,41,3500,LAC@LAL,LAC,LAL,,,
52500-84725:Kostas Antetokounmpo,52500-84725,PF,Kostas,Kostas Antetokounmpo,Antetokounmpo,2.520000076,5,3500,LAC@LAL,LAL,LAC,,,
52500-97018:Chris Chiozza,52500-97018,PG,Chris,Chris Chiozza,Chiozza,13.32500022,28,3500,GS@BKN,BKN,GS,,,
52500-145532:Jay Scrubb,52500-145532,SG,Jay,Jay Scrubb,Scrubb,,,3500,LAC@LAL,LAC,LAL,O,Foot,
